Datum;Total Erstimpfungen (täglich);Total Erstimpfungen (kumuliert);Total Zweitimpfungen (täglich);Total Zweitimpfungen (kumuliert);Totale Impfungen (täglich);Total Impfungen (kumuliert);Anzahl gelieferte Impfdosen (kumuliert) Pfizer_BioNTech;Anzahl gelieferte Impfdosen (kumuliert) Moderna;Anzahl gelieferte Impfdosen (kumuliert) AstraZeneca;Anzahl gelieferte Impfdosen (kumuliert) (Total)
Monday, 25 January 2021;1234;14207;8;8;1242;14215;22400;15300;0;37700
Tuesday, 26 January 2021;1206;15413;22;30;1228;15443;25325;15300;0;40625
Wednesday, 27 January 2021;1143;16556;144;174;1287;16730;25325;15300;0;40625
Thursday, 28 January 2021;1307;17863;206;380;1513;18243;25325;15300;0;40625
Friday, 29 January 2021;1382;19245;253;633;1635;19878;25325;15300;0;40625
Saturday, 30 January 2021;1;19246;155;788;156;20034;25325;15300;0;40625
Sunday, 31 January 2021;0;19246;0;788;0;20034;25325;15300;0;40625
Monday, 1 February 2021;602;19848;159;947;761;20795;26300;15300;0;41600
Tuesday, 2 February 2021;1307;21155;650;1597;1957;22752;26300;15300;0;41600
Wednesday, 3 February 2021;1557;22712;399;1996;1956;24708;26300;15300;0;41600
Thursday, 4 February 2021;1203;23915;724;2720;1927;26635;26300;15300;0;41600
Friday, 5 February 2021;1419;25334;446;3166;1865;28500;26300;15300;0;41600
Saturday, 6 February 2021;44;25378;125;3291;169;28669;26300;15300;0;41600
Sunday, 7 February 2021;0;25378;0;3291;0;28669;26300;15300;0;41600
Monday, 8 February 2021;659;26037;483;3774;1142;29811;26300;33700;0;60000
Tuesday, 9 February 2021;1107;27144;407;4181;1514;31325;27275;33700;0;60975
Wednesday, 10 February 2021;1121;28265;506;4687;1627;32952;27275;33700;0;60975
Thursday, 11 February 2021;846;29111;607;5294;1453;34405;27275;33700;0;60975
Friday, 12 February 2021;729;29840;211;5505;940;35345;27275;33700;0;60975
Saturday, 13 February 2021;9;29849;165;5670;174;35519;27275;33700;0;60975
Sunday, 14 February 2021;0;29849;0;5670;0;35519;27275;33700;0;60975
Monday, 15 February 2021;1000;30849;589;6259;1589;37108;27275;33700;0;60975
Tuesday, 16 February 2021;981;31830;694;6953;1675;38783;34100;33700;0;67800
Wednesday, 17 February 2021;945;32775;1404;8357;2349;41132;34100;33700;0;67800
Thursday, 18 February 2021;683;33458;1459;9816;2142;43274;34100;33700;0;67800
Friday, 19 February 2021;860;34318;1028;10844;1888;45162;34100;33700;0;67800
Saturday, 20 February 2021;1216;35534;173;11017;1389;46551;34100;33700;0;67800
Sunday, 21 February 2021;0;35534;0;11017;0;46551;34100;33700;0;67800
Monday, 22 February 2021;960;36494;1279;12296;2239;48790;34100;33700;0;67800
Tuesday, 23 February 2021;1476;37970;1586;13882;3062;51852;40925;33700;0;74625
Wednesday, 24 February 2021;1810;39780;1085;14967;2895;54747;40925;33700;0;74625
Thursday, 25 February 2021;1795;41575;1372;16339;3167;57914;40925;33700;0;74625
Friday, 26 February 2021;1647;43222;1136;17475;2783;60697;40925;33700;0;74625
Saturday, 27 February 2021;954;44176;2;17477;956;61653;40925;33700;0;74625
Sunday, 28 February 2021;0;44176;0;17477;0;61653;40925;48100;0;89025
Monday, 1 March 2021;1695;45871;623;18100;2318;63971;40925;48100;0;89025
Tuesday, 2 March 2021;1295;47166;1261;19361;2556;66527;51650;48100;0;99750
Wednesday, 3 March 2021;1389;48555;1517;20878;2906;69433;51650;48100;0;99750
Thursday, 4 March 2021;1413;49968;1164;22042;2577;72010;51650;48100;0;99750
Friday, 5 March 2021;1541;51509;1329;23371;2870;74880;51650;48100;0;99750
Saturday, 6 March 2021;289;51798;35;23406;324;75204;51650;48100;0;99750
Sunday, 7 March 2021;0;51798;0;23406;0;75204;51650;48100;0;99750
Monday, 8 March 2021;1605;53403;693;24099;2298;77502;51650;48100;0;99750
